Day,Year,PM2.5,Predicted_PM2.5
2023-01-02,2.5194579794668845,4.68,3.4066666666666667
2023-01-03,2.5194579794668845,4.45,4.9366666666666665
2023-01-04,2.5194579794668845,3.55,4.99
2023-01-05,2.5194579794668845,3.73,3.6233333333333335
2023-01-06,2.5194579794668845,2.86,4.256666666666667
2023-01-07,2.5194579794668845,3.14,2.795
2023-01-08,2.5194579794668845,3.91,3.063333333333333
2023-01-09,2.5194579794668845,4.86,3.6999999999999997
2023-01-10,2.5194579794668845,4.41,4.99
2023-01-11,2.5194579794668845,2.91,4.9366666666666665
2023-01-12,2.5194579794668845,3.41,2.795
2023-01-13,2.5194579794668845,3.23,3.4
2023-01-14,2.5194579794668845,3.05,3.4
2023-01-15,2.5194579794668845,3.36,2.795
2023-01-16,2.5194579794668845,3.68,3.4
2023-01-17,2.5194579794668845,4.09,4.06
2023-01-18,2.5194579794668845,3.55,5.256666666666667
2023-01-19,2.5194579794668845,3.55,4.3275
2023-01-20,2.5194579794668845,3.73,4.3275
2023-01-21,2.5194579794668845,3.36,4.256666666666667
2023-01-22,2.5194579794668845,3.68,4.3275
2023-01-23,2.5194579794668845,5.64,4.06
2023-01-24,2.5194579794668845,5.14,4.3
2023-01-25,2.5194579794668845,3.36,6.043333333333333
2023-01-26,2.5194579794668845,5.32,4.3275
2023-01-27,2.5194579794668845,5.5,5.466666666666666
2023-01-28,2.5194579794668845,3.59,5.466666666666666
2023-01-29,2.5194579794668845,4.36,3.4066666666666667
2023-01-30,2.5194579794668845,5.27,5.466666666666666
2023-01-31,2.5194579794668845,7.59,5.466666666666666
2023-02-01,2.5194579794668845,8.27,5.09
2023-02-02,2.5194579794668845,7.91,7.1925
2023-02-03,2.5194579794668845,5.5,7.1925
2023-02-04,2.5194579794668845,3.95,4.99
2023-02-05,2.5194579794668845,3.5,3.6999999999999997
2023-02-06,2.5194579794668845,3.36,4.016666666666667
2023-02-07,2.5194579794668845,3.05,4.016666666666667
2023-02-08,2.5194579794668845,3.05,2.795
2023-02-09,2.5194579794668845,3.41,2.795
2023-02-10,2.5194579794668845,3.32,3.4
2023-02-11,2.5194579794668845,4.95,3.4
2023-02-12,2.5194579794668845,4.09,4.944
2023-02-13,2.5194579794668845,3.32,5.256666666666667
2023-02-14,2.5194579794668845,3.59,3.4
2023-02-15,2.5194579794668845,4.68,5.09
2023-02-16,2.5194579794668845,3.91,6.043333333333333
2023-02-17,2.5194579794668845,5.23,4.9875
2023-02-18,2.5194579794668845,5.73,3.516666666666667
2023-02-19,2.5194579794668845,6.32,4.576666666666667
2023-02-20,2.5194579794668845,4.91,4.56
2023-02-21,2.5194579794668845,5.14,5.295
2023-02-22,2.5194579794668845,5.86,5.295
2023-02-23,2.5194579794668845,6.64,4.56
2023-02-24,2.5194579794668845,6.95,5.3775
2023-02-25,2.5194579794668845,6.14,7.0920000000000005
2023-02-26,2.5194579794668845,4.32,4.56
2023-02-27,2.5194579794668845,5.27,4.9875
2023-02-28,2.5194579794668845,6.77,3.516666666666667
2023-03-01,2.5194579794668845,7.09,4.228
2023-03-02,2.5194579794668845,6.59,7.045
2023-03-03,2.5194579794668845,5.45,4.56
2023-03-04,2.5194579794668845,7.27,4.4719999999999995
2023-03-05,2.5194579794668845,7.18,6.125
2023-03-06,2.5194579794668845,7.41,6.125
2023-03-07,2.5194579794668845,8.09,6.125
2023-03-08,2.5194579794668845,8.14,7.1925
2023-03-09,2.5194579794668845,6.27,7.1925
2023-03-10,2.5194579794668845,6.18,5.3775
2023-03-11,2.5194579794668845,5.68,4.56
2023-03-12,2.5194579794668845,5.09,4.4719999999999995
2023-03-13,2.5194579794668845,6.05,4.4719999999999995
2023-03-14,2.5194579794668845,6.0,4.56
2023-03-15,2.5194579794668845,6.77,4.56
2023-03-16,2.5194579794668845,5.36,5.68
2023-03-17,2.5194579794668845,5.09,4.4719999999999995
2023-03-18,2.5194579794668845,5.0,4.4719999999999995
2023-03-19,2.5194579794668845,3.73,4.354444444444445
2023-03-20,2.5194579794668845,3.55,3.6399999999999997
2023-03-21,2.5194579794668845,4.05,3.6399999999999997
2023-03-22,2.5194579794668845,4.09,5.256666666666667
2023-03-23,2.5194579794668845,3.45,5.256666666666667
2023-03-24,2.5194579794668845,3.55,3.32375
2023-03-25,2.5194579794668845,3.55,4.236
2023-03-26,2.5194579794668845,3.45,4.236
2023-03-27,2.5194579794668845,3.18,3.32375
2023-03-28,2.5194579794668845,3.23,3.054
2023-03-29,2.5194579794668845,2.95,3.054
2023-03-30,2.5194579794668845,3.14,3.715
2023-03-31,2.5194579794668845,3.23,3.054
2023-04-01,2.5194579794668845,3.45,3.656
2023-04-02,2.5194579794668845,4.09,3.0
2023-04-03,2.5194579794668845,5.09,3.956666666666667
2023-04-04,2.5194579794668845,5.91,6.133333333333333
2023-04-05,2.5194579794668845,6.32,5.3775
2023-04-06,2.5194579794668845,6.05,5.3775
2023-04-07,2.5194579794668845,4.32,4.56
2023-04-08,2.5194579794668845,3.45,3.8633333333333333
2023-04-09,2.5194579794668845,3.59,3.32375
2023-04-10,2.5194579794668845,3.18,3.6399999999999997
2023-04-11,2.5194579794668845,4.5,3.4733333333333327
2023-04-12,2.5194579794668845,4.86,5.228
2023-04-13,2.5194579794668845,5.86,5.228
2023-04-14,2.5194579794668845,6.64,5.3775
2023-04-15,2.5194579794668845,7.05,5.3775
2023-04-16,2.5194579794668845,7.0,5.68
2023-04-17,2.5194579794668845,6.91,6.786666666666666
2023-04-18,2.5194579794668845,6.68,5.68
2023-04-19,2.5194579794668845,6.86,5.3775
2023-04-20,2.5194579794668845,6.68,7.4775
2023-04-21,2.5194579794668845,6.45,5.3775
2023-04-22,2.5194579794668845,6.77,5.3775
2023-04-23,2.5194579794668845,5.36,7.0920000000000005
2023-04-24,2.5194579794668845,5.68,5.582
2023-04-25,2.5194579794668845,4.05,5.582
2023-04-26,2.5194579794668845,3.59,4.9875
2023-04-27,2.5194579794668845,5.36,4.236
2023-04-28,2.5194579794668845,4.09,3.83
2023-04-29,2.5194579794668845,4.23,3.79
2023-04-30,2.5194579794668845,3.36,4.9875
2023-05-01,2.5194579794668845,3.77,3.656
2023-05-02,2.5194579794668845,4.0,2.486666666666667
2023-05-03,2.5194579794668845,3.32,3.44
2023-05-04,2.5194579794668845,3.14,3.8075
2023-05-05,2.5194579794668845,4.55,3.126
2023-05-06,2.5194579794668845,3.91,5.228
2023-05-07,2.5194579794668845,3.91,3.44
2023-05-08,2.5194579794668845,3.5,3.44
2023-05-09,2.5194579794668845,3.55,3.32375
2023-05-10,2.5194579794668845,3.27,3.6399999999999997
2023-05-11,2.5194579794668845,3.45,3.8075
2023-05-12,2.5194579794668845,2.82,3.8075
2023-05-13,2.5194579794668845,2.86,2.6481249999999994
2023-05-14,2.5194579794668845,2.32,2.6481249999999994
2023-05-15,2.5194579794668845,3.77,2.2464285714285714
2023-05-16,2.5194579794668845,4.91,3.6399999999999997
2023-05-17,2.5194579794668845,4.36,5.228
2023-05-18,2.5194579794668845,4.32,5.228
2023-05-19,2.5194579794668845,3.95,3.5
2023-05-20,2.5194579794668845,4.27,4.3100000000000005
2023-05-21,2.5194579794668845,4.36,3.5
2023-05-22,2.5194579794668845,4.0,5.0
2023-05-23,2.5194579794668845,4.14,4.3100000000000005
2023-05-24,2.5194579794668845,3.86,4.3100000000000005
2023-05-25,2.5194579794668845,3.82,3.79
2023-05-26,2.5194579794668845,4.27,3.79
2023-05-27,2.5194579794668845,3.95,2.84
2023-05-28,2.5194579794668845,3.5,3.79
2023-05-29,2.5194579794668845,3.09,3.32375
2023-05-30,2.5194579794668845,3.27,3.054
2023-05-31,2.5194579794668845,3.45,3.32375
2023-06-01,2.5194579794668845,3.68,2.115
2023-06-02,2.5194579794668845,3.73,2.115
2023-06-03,2.5194579794668845,3.41,2.115
2023-06-04,2.5194579794668845,2.45,3.8075
2023-06-05,2.5194579794668845,2.27,2.2560000000000007
2023-06-06,2.5194579794668845,3.55,2.2560000000000007
2023-06-07,2.5194579794668845,3.05,3.6399999999999997
2023-06-08,2.5194579794668845,2.68,2.1666666666666665
2023-06-09,2.5194579794668845,2.36,2.5074999999999994
2023-06-10,2.5194579794668845,2.36,2.2560000000000007
2023-06-11,2.5194579794668845,2.32,2.2560000000000007
2023-06-12,2.5194579794668845,2.45,2.2560000000000007
2023-06-13,2.5194579794668845,2.36,2.2560000000000007
2023-06-14,2.5194579794668845,2.64,2.2560000000000007
2023-06-15,2.5194579794668845,2.09,2.5074999999999994
2023-06-16,2.5194579794668845,2.23,2.456415094339622
2023-06-17,2.5194579794668845,2.14,2.456415094339622
2023-06-18,2.5194579794668845,1.86,2.456415094339622
2023-06-19,2.5194579794668845,1.68,1.8839285714285716
2023-06-20,2.5194579794668845,3.05,2.4099999999999997
2023-06-21,2.5194579794668845,2.68,2.6225
2023-06-22,2.5194579794668845,3.18,2.5074999999999994
2023-06-23,2.5194579794668845,3.18,3.054
2023-06-24,2.5194579794668845,2.68,3.054
2023-06-25,2.5194579794668845,2.36,2.2600000000000002
2023-06-26,2.5194579794668845,2.27,2.456415094339622
2023-06-27,2.5194579794668845,2.59,2.456415094339622
2023-06-28,2.5194579794668845,2.73,3.205
2023-06-29,2.5194579794668845,2.91,3.205
2023-06-30,2.5194579794668845,2.5,3.016666666666667
2023-07-01,2.5194579794668845,2.05,2.9749999999999996
2023-07-02,2.5194579794668845,1.18,2.2560000000000007
2023-07-03,2.5194579794668845,2.05,1.8136363636363635
2023-07-04,2.5194579794668845,2.82,2.2560000000000007
2023-07-05,2.5194579794668845,3.14,2.0466666666666664
2023-07-06,2.5194579794668845,2.86,3.6475
2023-07-07,2.5194579794668845,2.59,2.855
2023-07-08,2.5194579794668845,2.41,2.5074999999999994
2023-07-09,2.5194579794668845,2.95,2.2560000000000007
2023-07-10,2.5194579794668845,2.36,2.1666666666666665
2023-07-11,2.5194579794668845,2.18,2.2560000000000007
2023-07-12,2.5194579794668845,2.68,2.2560000000000007
2023-07-13,2.5194579794668845,2.5,2.5074999999999994
2023-07-14,2.5194579794668845,2.45,2.5074999999999994
2023-07-15,2.5194579794668845,2.95,2.456415094339622
2023-07-16,2.5194579794668845,2.86,2.855
2023-07-17,2.5194579794668845,1.55,2.855
2023-07-18,2.5194579794668845,2.0,2.1999999999999997
2023-07-19,2.5194579794668845,2.55,2.456415094339622
2023-07-20,2.5194579794668845,3.32,2.5074999999999994
2023-07-21,2.5194579794668845,3.05,3.32375
2023-07-22,2.5194579794668845,2.73,2.5125
2023-07-23,2.5194579794668845,2.32,2.5074999999999994
2023-07-24,2.5194579794668845,2.55,2.456415094339622
2023-07-25,2.5194579794668845,2.5,2.2600000000000002
2023-07-26,2.5194579794668845,2.64,2.2600000000000002
2023-07-27,2.5194579794668845,2.41,2.2600000000000002
2023-07-28,2.5194579794668845,2.73,2.3625
2023-07-29,2.5194579794668845,2.5,3.205
2023-07-30,2.5194579794668845,2.64,3.4524999999999997
2023-07-31,2.5194579794668845,2.45,3.4524999999999997
2023-08-01,2.5194579794668845,2.73,2.115
2023-08-02,2.5194579794668845,3.05,2.5074999999999994
2023-08-03,2.5194579794668845,3.27,2.1666666666666665
2023-08-04,2.5194579794668845,3.55,3.32375
2023-08-05,2.5194579794668845,2.86,3.6399999999999997
2023-08-06,2.5194579794668845,2.82,2.1666666666666665
2023-08-07,2.5194579794668845,2.73,2.0466666666666664
2023-08-08,2.5194579794668845,2.77,2.5074999999999994
2023-08-09,2.5194579794668845,2.91,2.5074999999999994
2023-08-10,2.5194579794668845,3.18,2.855
2023-08-11,2.5194579794668845,2.73,3.4733333333333327
2023-08-12,2.5194579794668845,3.32,2.5074999999999994
2023-08-13,2.5194579794668845,3.0,3.32375
2023-08-14,2.5194579794668845,3.05,2.6225
2023-08-15,2.5194579794668845,3.09,2.6225
2023-08-16,2.5194579794668845,2.86,3.054
2023-08-17,2.5194579794668845,2.77,2.855
2023-08-18,2.5194579794668845,2.86,2.5074999999999994
2023-08-19,2.5194579794668845,3.05,2.855
2023-08-20,2.5194579794668845,3.09,2.1666666666666665
2023-08-21,2.5194579794668845,2.5,3.594
2023-08-22,2.5194579794668845,2.77,2.5074999999999994
2023-08-23,2.5194579794668845,2.86,2.5074999999999994
2023-08-24,2.5194579794668845,3.0,3.3175
2023-08-25,2.5194579794668845,2.82,2.6225
2023-08-26,2.5194579794668845,3.0,2.0466666666666664
2023-08-27,2.5194579794668845,2.45,2.6225
2023-08-28,2.5194579794668845,2.45,2.3625
2023-08-29,2.5194579794668845,2.41,2.3625
2023-08-30,2.5194579794668845,2.5,2.59
2023-08-31,2.5194579794668845,3.18,3.715
2023-09-01,2.5194579794668845,3.0,2.2116666666666664
2023-09-02,2.5194579794668845,3.32,2.6225
2023-09-03,2.5194579794668845,2.91,2.2116666666666664
2023-09-04,2.5194579794668845,2.36,2.1666666666666665
2023-09-05,2.5194579794668845,1.86,2.2560000000000007
2023-09-06,2.5194579794668845,2.36,2.41
2023-09-07,2.5194579794668845,2.91,2.2560000000000007
2023-09-08,2.5194579794668845,2.32,2.1666666666666665
2023-09-09,2.5194579794668845,2.45,2.2560000000000007
2023-09-10,2.5194579794668845,1.95,2.2560000000000007
2023-09-11,2.5194579794668845,1.5,2.41
2023-09-12,2.5194579794668845,1.5,1.1966666666666665
2023-09-13,2.5194579794668845,1.82,1.1966666666666665
2023-09-14,2.5194579794668845,1.05,2.41
2023-09-15,2.5194579794668845,1.23,1.2275
2023-09-16,2.5194579794668845,0.91,1.1966666666666665
2023-09-17,2.5194579794668845,1.27,1.2275
2023-09-18,2.5194579794668845,1.95,1.1966666666666665
2023-09-19,2.5194579794668845,3.27,2.41
2023-09-20,2.5194579794668845,3.18,4.286666666666666
2023-09-21,2.5194579794668845,2.45,3.594
2023-09-22,2.5194579794668845,3.09,2.456415094339622
2023-09-23,2.5194579794668845,3.36,3.054
2023-09-24,2.5194579794668845,3.59,3.32375
2023-09-25,2.5194579794668845,2.82,4.236
2023-09-26,2.5194579794668845,2.14,2.0466666666666664
2023-09-27,2.5194579794668845,1.64,1.8975
2023-09-28,2.5194579794668845,3.27,1.9533333333333331
2023-09-29,2.5194579794668845,1.95,3.019
2023-09-30,2.5194579794668845,2.68,1.9533333333333331
2023-10-01,2.5194579794668845,2.64,2.9749999999999996
2023-10-05,2.5194579794668845,3.23,3.1380000000000003
2023-10-06,2.5194579794668845,1.95,3.594
2023-10-07,2.5194579794668845,2.05,2.5825
2023-10-08,2.5194579794668845,2.5,2.2560000000000007
2023-10-09,2.5194579794668845,3.27,2.6966666666666668
2023-10-10,2.5194579794668845,2.77,3.019
2023-10-11,2.5194579794668845,1.95,2.83
2023-10-12,2.5194579794668845,2.77,2.5825
2023-10-13,2.5194579794668845,3.91,3.1380000000000003
2023-10-14,2.5194579794668845,3.09,3.67
2023-10-15,2.5194579794668845,3.45,3.054
2023-10-16,2.5194579794668845,3.95,3.32375
2023-10-17,2.5194579794668845,5.05,4.3100000000000005
2023-10-18,2.5194579794668845,5.64,6.133333333333333
2023-10-19,2.5194579794668845,4.27,5.5200000000000005
2023-10-20,2.5194579794668845,5.32,3.5
2023-10-21,2.5194579794668845,3.95,4.714285714285714
2023-10-22,2.5194579794668845,3.09,4.3100000000000005
2023-10-23,2.5194579794668845,4.23,3.054
2023-10-24,2.5194579794668845,4.77,2.84
2023-10-25,2.5194579794668845,4.05,5.0
2023-10-26,2.5194579794668845,3.55,3.79
2023-10-27,2.5194579794668845,3.14,4.236
2023-10-28,2.5194579794668845,3.5,3.594
2023-10-29,2.5194579794668845,3.77,3.32375
2023-10-30,2.5194579794668845,3.14,3.7380000000000004
2023-10-31,2.5194579794668845,2.64,3.054
2023-11-01,2.5194579794668845,3.27,3.375
2023-11-02,2.5194579794668845,4.45,3.375
2023-11-03,2.5194579794668845,4.73,5.228
2023-11-04,2.5194579794668845,5.0,4.354444444444445
2023-11-05,2.5194579794668845,3.68,5.019444444444444
2023-11-06,2.5194579794668845,3.95,3.6399999999999997
2023-11-07,2.5194579794668845,2.91,3.44
2023-11-08,2.5194579794668845,3.45,3.1380000000000003
2023-11-09,2.5194579794668845,3.59,3.32375
2023-11-10,2.5194579794668845,4.05,3.6399999999999997
2023-11-11,2.5194579794668845,3.5,3.67
2023-11-12,2.5194579794668845,3.18,3.32375
2023-11-13,2.5194579794668845,3.23,3.4733333333333327
2023-11-14,2.5194579794668845,2.68,3.4733333333333327
2023-11-15,2.5194579794668845,2.73,3.1380000000000003
2023-11-16,2.5194579794668845,2.55,2.6966666666666668
2023-11-17,2.5194579794668845,2.41,2.0766666666666667
2023-11-18,2.5194579794668845,3.82,2.1199999999999997
2023-11-19,2.5194579794668845,4.64,4.195
2023-11-20,2.5194579794668845,4.73,5.019444444444444
2023-11-21,2.5194579794668845,4.68,4.354444444444445
2023-11-22,2.5194579794668845,5.41,5.019444444444444
2023-11-23,2.5194579794668845,5.05,6.133333333333333
2023-11-24,2.5194579794668845,5.0,5.582
2023-11-25,2.5194579794668845,3.82,4.354444444444445
2023-11-26,2.5194579794668845,4.55,3.79
2023-11-27,2.5194579794668845,3.36,4.354444444444445
2023-11-28,2.5194579794668845,4.77,3.019
2023-11-29,2.5194579794668845,6.05,5.019444444444444
2023-11-30,2.5194579794668845,5.41,5.3775
2023-12-01,2.5194579794668845,3.86,3.1950000000000003
2023-12-02,2.5194579794668845,3.14,3.44
2023-12-03,2.5194579794668845,3.09,3.1950000000000003
2023-12-04,2.5194579794668845,3.32,3.1950000000000003
2023-12-05,2.5194579794668845,4.55,3.1950000000000003
2023-12-06,2.5194579794668845,4.05,4.354444444444445
2023-12-07,2.5194579794668845,2.77,4.9875
2023-12-08,2.5194579794668845,3.91,2.3633333333333333
2023-12-09,2.5194579794668845,5.23,3.67
2023-12-10,2.5194579794668845,6.55,6.133333333333333
2023-12-11,2.5194579794668845,4.91,4.56
2023-12-12,2.5194579794668845,6.77,4.354444444444445
2023-12-13,2.5194579794668845,5.05,5.68
2023-12-14,2.5194579794668845,3.64,4.714285714285714
2023-12-15,2.5194579794668845,5.05,4.653333333333333
2023-12-16,2.5194579794668845,5.27,6.133333333333333
2023-12-17,2.5194579794668845,4.59,4.714285714285714
2023-12-18,2.5194579794668845,3.36,5.019444444444444
2023-12-19,2.5194579794668845,4.36,4.653333333333333
2023-12-20,2.5194579794668845,4.14,4.4433333333333325
2023-12-21,2.5194579794668845,3.05,4.9875
2023-12-22,2.5194579794668845,3.45,2.8766666666666665
2023-12-23,2.5194579794668845,4.36,3.972
2023-12-24,2.5194579794668845,4.77,4.4433333333333325
2023-12-25,2.5194579794668845,5.23,3.7699999999999996
2023-12-26,2.5194579794668845,5.95,3.83
2023-12-27,2.5194579794668845,5.68,4.56
2023-12-28,2.5194579794668845,5.5,4.773333333333333
2023-12-29,2.5194579794668845,5.32,4.773333333333333
2023-12-30,2.5194579794668845,5.64,3.83
2023-12-31,2.5194579794668845,5.36,4.773333333333333
2024-01-01,3.7574573782352467,4.45,3.4066666666666667
2024-01-02,3.7574573782352467,4.59,4.9366666666666665
2024-01-03,3.7574573782352467,3.86,4.9366666666666665
2024-01-04,3.7574573782352467,4.55,4.7375
2024-01-05,3.7574573782352467,4.41,4.9366666666666665
2024-01-06,3.7574573782352467,4.91,4.9366666666666665
